title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,214418,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,451112,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1127384,
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,747952,
"Absolute Power",movie,"Action, Crime, Drama",1997,tt0118548,6.7,62347,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,147369,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1224266,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,250951,
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,355856,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,849032,
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,299846,
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,189362,
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,126855,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1741475,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,969567,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1365591,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,939749,
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,114480,
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,82469,
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,113249,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,382581,
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,885415,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,547717,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2090872,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1858256,
